subsector,gas,edgar_class,ssp_emission,iso_alpha_3,edgar_emission,year,edgar_emission_epsilon,direct_weight,norm_weight,log_weight,diff,squared_diff
lvst,ch4,AG - Livestock:CH4,2.1145407695215366,HRV,0.841457796,2015,0.8414587960000001,0.8414587960000001,0.02533744414840326,0.6105575383672084,1.5129463017955505,1.6207377113054904
lsmm,ch4,AG - Livestock:CH4,0.037159741382402356,HRV,0.841457796,2015,0.8414587960000001,0.8414587960000001,0.02533744414840326,0.6105575383672084,-0.955838905530435,0.6468969692587613
lsmm,n2o,AG - Livestock:N2O,0.16784709252601163,HRV,0.110192626,2015,0.110193626,0.110193626,0.0033180505547789696,0.10453353720538718,0.523201464720034,0.003323922202465943
agrc,co2,AG - Crops:CO2,1.9559154551917084,HRV,0.09585713,2015,0.09585813,0.09585813,0.0028863891797625348,0.09153682418934682,19.404273014628057,3.4598132529993326
agrc,ch4,AG - Crops:CH4,0.26645056546696544,HRV,0.000226641,2015,0.000227641,0.000227641,6.824470230754464e-06,0.0002266153208084854,1169.4858328111607,0.07087464551174358
agrc,n2o,AG - Crops:N2O,0.1726257761909352,HRV,1.038055189,2015,1.038056189,1.038056189,0.0312572603157006,0.71199601441425,-0.8337028592284274,0.7489697994148682
scoe,co2,EN - Building:CO2,6.090816686795387,HRV,2.726867007,2015,2.726868007,2.726868007,0.08210969203497172,1.3155679362006645,1.2336309169200599,11.316150720297125
scoe,ch4,EN - Building:CH4,0.01562370102617698,HRV,0.416708461,2015,0.41670946099999995,0.41670946099999995,0.012547661221923693,0.34833619571539676,-0.962506968311485,0.16086978685377912
scoe,n2o,EN - Building:N2O,0.027544412155638468,HRV,0.104121602,2015,0.104122602,0.104122602,0.00313524372566069,0.09905008852832732,-0.7354617381186991,0.0058642191598390755
entc,co2,EN - Electricity/Heat:CO2,,HRV,3.297328035,2015,3.297329035,3.297329035,0.09928705316288587,1.457993442349168,,
entc,ch4,EN - Electricity/Heat:CH4,,HRV,0.004395555,2015,0.004396555,0.004396555,0.0001323561678828806,0.0043859227638221076,,
entc,n2o,EN - Electricity/Heat:N2O,,HRV,0.011222465,2015,0.011223464999999998,0.011223464999999998,0.0003379237574321676,0.011159960342477652,,
fgtv,co2,EN - Fugitive Emissions:CO2,,HRV,1.392714613,2015,1.392715613,1.392715613,0.04193654023921191,0.872428542725296,,
fgtv,ch4,EN - Fugitive Emissions:CH4,,HRV,1.046726716,2015,1.046727716,1.046727716,0.03151837184391784,0.7162417931256768,,
fgtv,n2o,EN - Fugitive Emissions:N2O,,HRV,0.001680058,2015,0.0016810579999999998,0.0016810579999999998,5.058884229658748e-05,0.0016786482812769755,,
inen,co2,EN - Manufacturing/Construction:CO2,3.443112412335799,HRV,2.148484414,2015,2.148485414,2.148485414,0.06469380175953579,1.146921198640617,0.6025765825077176,1.676059064819961
inen,ch4,EN - Manufacturing/Construction:CH4,0.008498439945184807,HRV,0.003652548,2015,0.003653548,0.003653548,0.00010998321174192558,0.003645893645198322,1.3260786351198364,2.347297796051663e-05
inen,n2o,EN - Manufacturing/Construction:N2O,0.01392014287076447,HRV,0.005203161,2015,0.0052041610000000006,0.0052041610000000006,0.00015667428819288051,0.00518967133018701,1.6748101895318894,7.596833997149489e-05
trns,co2,EN - Transportation:CO2,5.872395462989005,HRV,5.885325138,2015,5.885326138,5.885326138,0.1772151826129955,1.9293923551759797,-0.0021971042399000764,0.00016720235623995868
trns,ch4,EN - Transportation:CH4,0.020395783062090722,HRV,0.013863209,2015,0.013864208999999999,0.013864208999999999,0.0004174401680332657,0.013767993701984726,0.47111047316804905,4.266145972857631e-05
trns,n2o,EN - Transportation:N2O,0.10174331947252027,HRV,0.058990353,2015,0.058991353,0.058991353,0.0017762801432670934,0.057315957040477976,0.7247158150876836,0.001827730637267497
ippu,co2,IN - Industrial Processes:CO2,3.6725246611103044,HRV,2.415890528,2015,2.415891528,2.415891528,0.07274576528120545,1.2284382285744049,0.5201529615655428,1.5791268312306201
ippu,ch4,IN - Industrial Processes:CH4,0.05169625508998653,HRV,0.001673081,2015,0.001674081,0.001674081,5.0378755292029736e-05,0.0016716829591236636,29.880378601744198,0.0025022179006889194
ippu,n2o,IN - Industrial Processes:N2O,3.829607038367654,HRV,0.946128602,2015,0.9461296020000001,0.9461296020000001,0.028489225157029573,0.6658420668834618,3.0476558711114654,8.314442126041378
ippu,c2f6,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,c2h3f3,IN - Industrial Processes:HFC,0.11016906312999994,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,4.78510775462832,0.008303856800942767
ippu,c2hf5,IN - Industrial Processes:HFC,0.10018970994999998,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,4.2610801208481455,0.006584697188874294
ippu,c3f8,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,c3h2f6,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,c3h3f5,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,c3hf7,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,c4f10,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,c4f6,IN - Industrial Processes:HFC,2.11187122396902e-09,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-0.9999998891031453,0.00036265720565733145
ippu,c4h5f5,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,c5f12,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,c5f8,IN - Industrial Processes:HFC,1.2370285694398531e-05,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-0.9993504216731589,0.00036218629049016655
ippu,c5h2f10,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,c6f14,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,cc4f8,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,cf4,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,ch2f2,IN - Industrial Processes:HFC,0.016301555231997496,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-0.14398606191423433,7.518605787339334e-06
ippu,ch2fchf2,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,ch3cci2f,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,ch3ccif2,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,ch3chf2,IN - Industrial Processes:HFC,1.2390773999999996e-07,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-0.9999934934580802,0.00036265256681811586
ippu,ch3f,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,chf2cf3,IN - Industrial Processes:HFC,0.07812371862,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,3.1023688281314983,0.003490464805588649
ippu,chf2chf2,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,chf3,IN - Industrial Processes:HFC,0.0,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-1.0,0.00036265728609243176
ippu,hfcs,IN - Industrial Processes:HFC,0.3047841708397374,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,15.00457714823565,0.0816476950532865
ippu,other_fcs,IN - Industrial Processes:HFC,0.00014677505006584687,HRV,0.01904256285185185,2015,0.01904356285185185,0.01904356285185185,0.0005733975904612748,0.018863522604638437,-0.9922926685931791,0.0003570885892257283
ippu,pfcs,IN - Industrial Processes:PFC,1.23723975656225e-05,HRV,0.0,2015,1e-06,1e-06,0.0,0.0,11.372397565622501,1.2933142639057656e-10
ippu,sf6,IN - Industrial Processes:SF6,0.0,HRV,0.005375954,2015,0.005376954,0.005376954,0.00016187732155658235,0.005361555141310121,-1.0,2.8911634318116e-05
waso,co2,Waste - Solid Waste:CO2,0.45923139860510626,HRV,3.08606e-05,2015,3.18606e-05,3.18606e-05,9.292548391651168e-07,3.0860123821385104e-05,14412.77119718732,0.21086421570410305
waso,ch4,Waste - Solid Waste:CH4,0.8898794872174985,HRV,1.255624377,2015,1.2556253769999999,1.2556253769999999,0.037808565889870416,0.813426820216485,-0.2912858377045221,0.13377005589279362
waso,n2o,Waste - Solid Waste:N2O,0.0005863320589541198,HRV,0.003034266,2015,0.003035266,0.003035266,9.136589579639353e-05,0.003029671905710673,-0.8068267957555879,5.997277447606508e-06
trww,ch4,Waste - Wastewater Treatment:CH4,0.7280880899844906,HRV,0.441746003,2015,0.44174700299999997,0.44174700299999997,0.013301575827093386,0.3658548811842429,0.6482015385274513,0.08199121809545963
trww,n2o,Waste - Wastewater Treatment:N2O,0.42212830627466724,HRV,0.061427249,2015,0.061428249000000004,0.061428249000000004,0.0018496584120156635,0.059614463778558245,5.871892218100946,0.13010453131794825
frst,co2,LULUCF - Forest Land:CO2,-1.2369772216802364,HRV,-6.547103826,2015,-6.547102826,6.547104826,0.1971422432754694,2.0211638904626392,-0.8110649466558055,28.19743393365233
frst,ch4,LULUCF - Forest Land:CH4,0.1283095962464103,,,2015,,,,,,
lndu,co2,LULUCF - Deforestation:CO2,0.1213703490939653,HRV,0.060839526,2015,0.060840526,0.060840526,0.0018319612693211387,0.059060600313373124,0.9948931587798123,0.003663859483786735
lndu,ch4,LULUCF - Deforestation:CH4,0.41943759976269285,,,2015,,,,,,
lndu,co2,LULUCF - Other Land:CO2,0.01281150132183309,HRV,0.820236897,2015,0.820237897,0.820237897,0.02469845387967277,0.5989666558050246,-0.9843807493305408,0.6519373844378359
soil,co2,LULUCF - Organic Soil:CO2,0.1481406535587531,HRV,0.092259474,2015,0.092260474,0.092260474,0.002778058841154361,0.08824846265019766,0.6056784355861116,0.0031225944675184894
soil,n2o,LULUCF - Organic Soil:N2O,0.6195620623497491,,,2015,,,,,,
ccsq,ch4,CCSQ:CH4,0.0,,,2015,,,,,,
ccsq,co2,CCSQ:CO2,0.0,,,2015,,,,,,
ccsq,n2o,CCSQ:N2O,0.0,,,2015,,,,,,
