ids, Subsector , Gas , Edgar_Class , Edgar_Subsector , Edgar_Sector ,ignore,note,need_better_information_on_what_is_contained, Vars 
1:lvst-lsmm:ch4,lvst,ch4,AG - Livestock:CH4,AG - Livestock,Agriculture,,,,emission_co2e_ch4_lvst_entferm_buffalo:emission_co2e_ch4_lvst_entferm_cattle_dairy:emission_co2e_ch4_lvst_entferm_cattle_nondairy:emission_co2e_ch4_lvst_entferm_chickens:emission_co2e_ch4_lvst_entferm_goats:emission_co2e_ch4_lvst_entferm_horses:emission_co2e_ch4_lvst_entferm_mules:emission_co2e_ch4_lvst_entferm_pigs:emission_co2e_ch4_lvst_entferm_sheep
1:lvst-lsmm:ch4,lsmm,ch4,AG - Livestock:CH4,AG - Livestock,Agriculture,,,,emission_co2e_ch4_lsmm_anaerobic_digester:emission_co2e_ch4_lsmm_anaerobic_lagoon:emission_co2e_ch4_lsmm_composting:emission_co2e_ch4_lsmm_daily_spread:emission_co2e_ch4_lsmm_deep_bedding:emission_co2e_ch4_lsmm_dry_lot:emission_co2e_ch4_lsmm_incineration:emission_co2e_ch4_lsmm_liquid_slurry:emission_co2e_ch4_lsmm_paddock_pasture_range:emission_co2e_ch4_lsmm_poultry_manure:emission_co2e_ch4_lsmm_storage_solid
3:lsmm:n2o,lsmm,n2o,AG - Livestock:N2O,AG - Livestock,Agriculture,,,,emission_co2e_n2o_lsmm_anaerobic_digester:emission_co2e_n2o_lsmm_anaerobic_lagoon:emission_co2e_n2o_lsmm_composting:emission_co2e_n2o_lsmm_daily_spread:emission_co2e_n2o_lsmm_deep_bedding:emission_co2e_n2o_lsmm_dry_lot:emission_co2e_n2o_lsmm_incineration:emission_co2e_n2o_lsmm_liquid_slurry:emission_co2e_n2o_lsmm_paddock_pasture_range:emission_co2e_n2o_lsmm_poultry_manure:emission_co2e_n2o_lsmm_storage_solid
4:agrc:co2,agrc,co2,AG - Crops:CO2,AG - Crops,Agriculture,,may include liming and urea,1,emission_co2e_co2_agrc_biomass_bevs_and_spices:emission_co2e_co2_agrc_biomass_fruits:emission_co2e_co2_agrc_biomass_nuts:emission_co2e_co2_agrc_biomass_other_woody_perennial
5:agrc:ch4,agrc,ch4,AG - Crops:CH4,AG - Crops,Agriculture,,may include fertilizer application,1,emission_co2e_ch4_agrc_anaerobicdom_rice:emission_co2e_ch4_agrc_biomass_burning
6:agrc:n2o,agrc,n2o,AG - Crops:N2O,AG - Crops,Agriculture,,may include fertilizer application,1,emission_co2e_n2o_agrc_biomass_burning:emission_co2e_n2o_agrc_crop_residues
7:scoe:co2,scoe,co2,EN - Building:CO2,EN - Building,Energy,,,,emission_co2e_co2_scoe_commercial_municipal:emission_co2e_co2_scoe_other_se:emission_co2e_co2_scoe_residential
8:scoe:ch4,scoe,ch4,EN - Building:CH4,EN - Building,Energy,,,,emission_co2e_ch4_scoe_commercial_municipal:emission_co2e_ch4_scoe_other_se:emission_co2e_ch4_scoe_residential
9:scoe:n2o,scoe,n2o,EN - Building:N2O,EN - Building,Energy,,,,emission_co2e_n2o_scoe_commercial_municipal:emission_co2e_n2o_scoe_other_se:emission_co2e_n2o_scoe_residential
10:entc:co2,entc,co2,EN - Electricity/Heat:CO2,EN - Electricity/Heat,Energy,,,,emission_co2e_co2_entc_generation_pp_biogas:emission_co2e_co2_entc_generation_pp_biomass:emission_co2e_co2_entc_generation_pp_coal:emission_co2e_co2_entc_generation_pp_coal_ccs:emission_co2e_co2_entc_generation_pp_gas:emission_co2e_co2_entc_generation_pp_gas_ccs:emission_co2e_co2_entc_generation_pp_geothermal:emission_co2e_co2_entc_generation_pp_hydropower:emission_co2e_co2_entc_generation_pp_nuclear:emission_co2e_co2_entc_generation_pp_ocean:emission_co2e_co2_entc_generation_pp_oil:emission_co2e_co2_entc_generation_pp_solar:emission_co2e_co2_entc_generation_pp_waste_incineration:emission_co2e_co2_entc_generation_pp_wind
11:entc:ch4,entc,ch4,EN - Electricity/Heat:CH4,EN - Electricity/Heat,Energy,,,,emission_co2e_ch4_entc_generation_pp_biogas:emission_co2e_ch4_entc_generation_pp_biomass:emission_co2e_ch4_entc_generation_pp_coal:emission_co2e_ch4_entc_generation_pp_coal_ccs:emission_co2e_ch4_entc_generation_pp_gas:emission_co2e_ch4_entc_generation_pp_gas_ccs:emission_co2e_ch4_entc_generation_pp_geothermal:emission_co2e_ch4_entc_generation_pp_hydropower:emission_co2e_ch4_entc_generation_pp_nuclear:emission_co2e_ch4_entc_generation_pp_ocean:emission_co2e_ch4_entc_generation_pp_oil:emission_co2e_ch4_entc_generation_pp_solar:emission_co2e_ch4_entc_generation_pp_waste_incineration:emission_co2e_ch4_entc_generation_pp_wind
12:entc:n2o,entc,n2o,EN - Electricity/Heat:N2O,EN - Electricity/Heat,Energy,,,,emission_co2e_n2o_entc_generation_pp_biogas:emission_co2e_n2o_entc_generation_pp_biomass:emission_co2e_n2o_entc_generation_pp_coal:emission_co2e_n2o_entc_generation_pp_coal_ccs:emission_co2e_n2o_entc_generation_pp_gas:emission_co2e_n2o_entc_generation_pp_gas_ccs:emission_co2e_n2o_entc_generation_pp_geothermal:emission_co2e_n2o_entc_generation_pp_hydropower:emission_co2e_n2o_entc_generation_pp_nuclear:emission_co2e_n2o_entc_generation_pp_ocean:emission_co2e_n2o_entc_generation_pp_oil:emission_co2e_n2o_entc_generation_pp_solar:emission_co2e_n2o_entc_generation_pp_waste_incineration:emission_co2e_n2o_entc_generation_pp_wind
13:fgtv:co2,fgtv,co2,EN - Fugitive Emissions:CO2,EN - Fugitive Emissions,Energy,,,,emission_co2e_co2_fgtv_fuel_coal:emission_co2e_co2_fgtv_fuel_natural_gas:emission_co2e_co2_fgtv_fuel_oil:emission_co2e_co2_entc_fuel_mining_and_extraction_me_coal:emission_co2e_co2_entc_fuel_mining_and_extraction_me_crude:emission_co2e_co2_entc_fuel_mining_and_extraction_me_natural_gas:emission_co2e_co2_entc_processing_and_refinement_fp_ammonia_production:emission_co2e_co2_entc_processing_and_refinement_fp_hydrogen_electrolysis:emission_co2e_co2_entc_processing_and_refinement_fp_hydrogen_gasification:emission_co2e_co2_entc_processing_and_refinement_fp_hydrogen_reformation:emission_co2e_co2_entc_processing_and_refinement_fp_hydrogen_reformation_ccs:emission_co2e_co2_entc_processing_and_refinement_fp_natural_gas:emission_co2e_co2_entc_processing_and_refinement_fp_petroleum_refinement
14:fgtv:ch4,fgtv,ch4,EN - Fugitive Emissions:CH4,EN - Fugitive Emissions,Energy,,,,emission_co2e_ch4_fgtv_fuel_coal:emission_co2e_ch4_fgtv_fuel_natural_gas:emission_co2e_ch4_fgtv_fuel_oil:emission_co2e_ch4_entc_fuel_mining_and_extraction_me_coal:emission_co2e_ch4_entc_fuel_mining_and_extraction_me_crude:emission_co2e_ch4_entc_fuel_mining_and_extraction_me_natural_gas:emission_co2e_ch4_entc_processing_and_refinement_fp_ammonia_production:emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_electrolysis:emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_gasification:emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_reformation:emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_reformation_ccs:emission_co2e_ch4_entc_processing_and_refinement_fp_natural_gas:emission_co2e_ch4_entc_processing_and_refinement_fp_petroleum_refinement
15:fgtv:n2o,fgtv,n2o,EN - Fugitive Emissions:N2O,EN - Fugitive Emissions,Energy,,,,emission_co2e_n2o_fgtv_fuel_coal:emission_co2e_n2o_fgtv_fuel_natural_gas:emission_co2e_n2o_fgtv_fuel_oil:emission_co2e_n2o_entc_fuel_mining_and_extraction_me_coal:emission_co2e_n2o_entc_fuel_mining_and_extraction_me_crude:emission_co2e_n2o_entc_fuel_mining_and_extraction_me_natural_gas:emission_co2e_n2o_entc_processing_and_refinement_fp_ammonia_production:emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_electrolysis:emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_gasification:emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_reformation:emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_reformation_ccs:emission_co2e_n2o_entc_processing_and_refinement_fp_natural_gas:emission_co2e_n2o_entc_processing_and_refinement_fp_petroleum_refinement
16:inen:co2,inen,co2,EN - Manufacturing/Construction:CO2,EN - Manufacturing/Construction,Energy,,,,emission_co2e_co2_inen_agriculture_and_livestock:emission_co2e_co2_inen_cement:emission_co2e_co2_inen_chemicals:emission_co2e_co2_inen_electronics:emission_co2e_co2_inen_glass:emission_co2e_co2_inen_lime_and_carbonite:emission_co2e_co2_inen_metals:emission_co2e_co2_inen_mining:emission_co2e_co2_inen_other_product_manufacturing:emission_co2e_co2_inen_paper:emission_co2e_co2_inen_plastic:emission_co2e_co2_inen_recycled_glass:emission_co2e_co2_inen_recycled_metals:emission_co2e_co2_inen_recycled_paper:emission_co2e_co2_inen_recycled_plastic:emission_co2e_co2_inen_recycled_rubber_and_leather:emission_co2e_co2_inen_recycled_textiles:emission_co2e_co2_inen_recycled_wood:emission_co2e_co2_inen_rubber_and_leather:emission_co2e_co2_inen_textiles
17:inen:ch4,inen,ch4,EN - Manufacturing/Construction:CH4,EN - Manufacturing/Construction,Energy,,,,emission_co2e_ch4_inen_agriculture_and_livestock:emission_co2e_ch4_inen_cement:emission_co2e_ch4_inen_chemicals:emission_co2e_ch4_inen_electronics:emission_co2e_ch4_inen_glass:emission_co2e_ch4_inen_lime_and_carbonite:emission_co2e_ch4_inen_metals:emission_co2e_ch4_inen_mining:emission_co2e_ch4_inen_other_product_manufacturing:emission_co2e_ch4_inen_paper:emission_co2e_ch4_inen_plastic:emission_co2e_ch4_inen_recycled_glass:emission_co2e_ch4_inen_recycled_metals:emission_co2e_ch4_inen_recycled_paper:emission_co2e_ch4_inen_recycled_plastic:emission_co2e_ch4_inen_recycled_rubber_and_leather:emission_co2e_ch4_inen_recycled_textiles:emission_co2e_ch4_inen_recycled_wood:emission_co2e_ch4_inen_rubber_and_leather:emission_co2e_ch4_inen_textiles
18:inen:n2o,inen,n2o,EN - Manufacturing/Construction:N2O,EN - Manufacturing/Construction,Energy,,,,emission_co2e_n2o_inen_agriculture_and_livestock:emission_co2e_n2o_inen_cement:emission_co2e_n2o_inen_chemicals:emission_co2e_n2o_inen_electronics:emission_co2e_n2o_inen_glass:emission_co2e_n2o_inen_lime_and_carbonite:emission_co2e_n2o_inen_metals:emission_co2e_n2o_inen_mining:emission_co2e_n2o_inen_other_product_manufacturing:emission_co2e_n2o_inen_paper:emission_co2e_n2o_inen_plastic:emission_co2e_n2o_inen_recycled_glass:emission_co2e_n2o_inen_recycled_metals:emission_co2e_n2o_inen_recycled_paper:emission_co2e_n2o_inen_recycled_plastic:emission_co2e_n2o_inen_recycled_rubber_and_leather:emission_co2e_n2o_inen_recycled_textiles:emission_co2e_n2o_inen_recycled_wood:emission_co2e_n2o_inen_rubber_and_leather:emission_co2e_n2o_inen_textiles
19:trns:co2,trns,co2,EN - Transportation:CO2,EN - Transportation,Energy,,,,emission_co2e_co2_trns_aviation:emission_co2e_co2_trns_human_powered:emission_co2e_co2_trns_powered_bikes:emission_co2e_co2_trns_public:emission_co2e_co2_trns_rail_freight:emission_co2e_co2_trns_rail_passenger:emission_co2e_co2_trns_road_heavy_freight:emission_co2e_co2_trns_road_heavy_regional:emission_co2e_co2_trns_road_light:emission_co2e_co2_trns_water_borne
20:trns:ch4,trns,ch4,EN - Transportation:CH4,EN - Transportation,Energy,,,,emission_co2e_ch4_trns_aviation:emission_co2e_ch4_trns_human_powered:emission_co2e_ch4_trns_powered_bikes:emission_co2e_ch4_trns_public:emission_co2e_ch4_trns_rail_freight:emission_co2e_ch4_trns_rail_passenger:emission_co2e_ch4_trns_road_heavy_freight:emission_co2e_ch4_trns_road_heavy_regional:emission_co2e_ch4_trns_road_light:emission_co2e_ch4_trns_water_borne
21:trns:n2o,trns,n2o,EN - Transportation:N2O,EN - Transportation,Energy,,,,emission_co2e_n2o_trns_aviation:emission_co2e_n2o_trns_human_powered:emission_co2e_n2o_trns_powered_bikes:emission_co2e_n2o_trns_public:emission_co2e_n2o_trns_rail_freight:emission_co2e_n2o_trns_rail_passenger:emission_co2e_n2o_trns_road_heavy_freight:emission_co2e_n2o_trns_road_heavy_regional:emission_co2e_n2o_trns_road_light:emission_co2e_n2o_trns_water_borne
22:ippu:co2,ippu,co2,IN - Industrial Processes:CO2,IN - Industrial Processes,Industrial Processes,,,,emission_co2e_co2_ippu_product_use_product_use_lubricants:emission_co2e_co2_ippu_product_use_product_use_other:emission_co2e_co2_ippu_product_use_product_use_paraffin_wax:emission_co2e_co2_ippu_production_cement:emission_co2e_co2_ippu_production_chemicals:emission_co2e_co2_ippu_production_glass:emission_co2e_co2_ippu_production_lime_and_carbonite:emission_co2e_co2_ippu_production_metals:emission_co2e_co2_ippu_production_paper:emission_co2e_co2_ippu_production_plastic:emission_co2e_co2_ippu_production_product_use_lubricants:emission_co2e_co2_ippu_production_product_use_paraffin_wax
23:ippu:ch4,ippu,ch4,IN - Industrial Processes:CH4,IN - Industrial Processes,Industrial Processes,,,,emission_co2e_ch4_ippu_production_chemicals:emission_co2e_ch4_ippu_production_metals:emission_co2e_ch4_ippu_production_paper:emission_co2e_ch4_ippu_production_plastic
24:ippu:n2o,ippu,n2o,IN - Industrial Processes:N2O,IN - Industrial Processes,Industrial Processes,,,,emission_co2e_n2o_ippu_production_chemicals:emission_co2e_n2o_ippu_production_other_product_manufacturing:emission_co2e_n2o_ippu_production_paper:emission_co2e_n2o_ippu_production_plastic
25:ippu:c2f6,ippu,c2f6,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,1,,,emission_co2e_c2f6_ippu_product_use_product_use_ods_other:emission_co2e_c2f6_ippu_production_chemicals:emission_co2e_c2f6_ippu_production_electronics:emission_co2e_c2f6_ippu_production_metals
26:ippu:c2h3f3,ippu,c2h3f3,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,1,,,emission_co2e_c2h3f3_ippu_product_use_product_use_ods_refrigeration:emission_co2e_c2h3f3_ippu_production_chemicals
27:ippu:c2hf5,ippu,c2hf5,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,1,,,emission_co2e_c2hf5_ippu_product_use_product_use_ods_other:emission_co2e_c2hf5_ippu_product_use_product_use_ods_refrigeration:emission_co2e_c2hf5_ippu_production_chemicals
28:ippu:c3f8,ippu,c3f8,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,1,,,emission_co2e_c3f8_ippu_production_chemicals:emission_co2e_c3f8_ippu_production_electronics
29:ippu:c3h2f6,ippu,c3h2f6,IN - Industrial Processes:HFC,IN - Industrial Processes,Industrial Processes,1,,,emission_co2e_c3h2f6_ippu_product_use_product_use_ods_other:emission_co2e_c3h2f6_ippu_product_use_product_use_ods_refrigeration
